review,rating
"I am using this product on daily basis for last two months.
1.Sound Quality is Good
2.Bass is average
3.Built quality is also good",4.0 out of 5 stars
All good,4.0 out of 5 stars
"Design need more improvement to increase ear comfort, some time it cause pain in ear for using it to long time, noise cancelling also need improvement, apart from that
All is well",4.0 out of 5 stars
Sound vocal perfect bass is not heavy it balanced,4.0 out of 5 stars
"Sound quality is good but mic stopped working after few months,",4.0 out of 5 stars
Excellent bulit quality.Bass is very good.This earphones is good for both games and music. Gamers really like L bend earphone jack.it is very comfortable,4.0 out of 5 stars
"Excellent product, Value for money product.",4.0 out of 5 stars
"I am changing my below review as my product got replaced by redmi under the warranty. Got good product in replacment...Thank you.

Am really frustrated with this product....Volume button and stop button automatically works whenever it touch the shirt or body or we move our head . Calls getting disconnected and volume of the videos are getting changed and skip to next video... Don't buy it... I love redmi products..but this one is really sucked.",4.0 out of 5 stars
Good,4.0 out of 5 stars
This earphones is for good sounds quality not for calling because his noise cancellation is very bad if you buy for watching movies or for listen music then is good but not for calling as my opinion you buy earbuds under 1000 is better choice because you get 1 year warranty,3.0 out of 5 stars
"During listening music or watching movie it automatically gets play and pause .
Without switching to music it starts playing music.
Automatically it activates ALEXA or GOOGLE mic .

This issue is in mic department.",3.0 out of 5 stars
Very nice,4.0 out of 5 stars
Super build quality and design. Good and bass was so good. It was a perfect earphones. Nice I like it.,4.0 out of 5 stars
Mic is not working for my phone,4.0 out of 5 stars
"It absolutely justify it's price veryy good sound quality, good build, good bass, just a little bit problem in mic not so clear but that negligible

I'll suggest you to replace it on 5th or before 6th month because the breading of cable starts loosing after 5-6 months
Otherwise everything is fine",4.0 out of 5 stars
The quality of earphones is really good. But they should have given 1 year's of warranty instead of 6 months. Now I just hope all goes well with earphone. Over-all earphone is nice for using daily also sound quality is nice.,4.0 out of 5 stars
Only one year used after wire damaged,4.0 out of 5 stars
Good earphone dual driver works well nd deliver crisp sound,4.0 out of 5 stars
"Mi dual driver in ear earphone 👍

black",4.0 out of 5 stars
Nice earphone For Gaming & don't recamend For Music.,4.0 out of 5 stars
Thank You Xiaomi and Amazon,4.0 out of 5 stars
Ok for that price,4.0 out of 5 stars
No,4.0 out of 5 stars
"I use it for long term use... Wired earphone always better than Bluetooth in terms of health.. I think I can feel Bluetooth waves interfering with my brain... So yes...
Also sounds great... I love the braided cable... You know wires get damaged easily, but if you can protect the upper non braided cable then it will be okay... I have 2 of them and my previous earphone (dual driver) got damaged from the controler where there is mic... So it skips songs automatically often...
I wished if it was fully braided...",4.0 out of 5 stars
Value for money but i hav a suggestion for mi company please make flat wire earphones like boat and also give us atleast 1 year of warranty for the earphones (in internal damage),4.0 out of 5 stars
Bass 👌🎧,4.0 out of 5 stars
"First thing, bass is just 💥
But then I realised that my 150rs Zebronics earphone has much clearer voice than this mi. And that too without any dual drivers.
Only thing that makes us feel value for money is the packaging and earphone quality (do have to point that only the bottom half is braided, rest is the common wiring)
But still satisfied by the purchase.
This is just first impressions",4.0 out of 5 stars
Sound quality is very good. Bass is the highlight of this product in this range. I liked this product and enjoy using it.,4.0 out of 5 stars
"1.Built quality is 4/5
2.sound quality is 3.5/5
3.bass is gud 4.5/5
4.It feels slightly uncomfortable so it can't be used for long period
5.noise cancelling is also quite gud",4.0 out of 5 stars
Wire quality is not at all good half wife is braided but half is non braided and of very low quality and they tangle a lot ....Sound is ok ok but not too good according to the price and i will prefer not to purchase this one,3.0 out of 5 stars
I bought it for 599 i feel like sound is mahhh... Expected it good but it's just average in sound,3.0 out of 5 stars
mic of teh earfon is of very bad quality...it feels like u are having a cheap product. veryyy bad mic..,3.0 out of 5 stars
"You may easily be able use it for few hours then it would start to hurt bcz of its design and you'll start getting uncomfortable, It may also depend on your ear shape. Overall its not the best but not bad for the price.",3.0 out of 5 stars
"Sound quality is good, noise cancellation good,
Bass quality is better over all good to buy in offer not at real price.",5.0 out of 5 stars
Very good earphones at this price range. Clear and crisp trible and bass.,4.0 out of 5 stars
Audio details lossing some point in high volume even 80% audio,4.0 out of 5 stars
Acc. to the price it sound good.,4.0 out of 5 stars
"Best earphone under 1000
Great sound quality, noise cancelling is awesome
All over a great product",5.0 out of 5 stars
"Great for the first week but then the plastic/rubber sheath on the wires begin to tear.
Not so durable but great for desk use. Would NOT recommend for outdoor use.",3.0 out of 5 stars
Not Too much expectations this earphones & music play in mid volume Decent performance.. Bass best in it compares this all Xiaomi earphones 🎧,4.0 out of 5 stars
I use it before 8 months still working very nice.,5.0 out of 5 stars
"First of all I would like to request you all to first let the earphones to burn to its full so as to extract all its potential from these pair of earphones. At first when I bought these pair of earphones, I was not at all impressed with its performance. The bass seemed to be too high and the vocals and the highs seemed to be suppressed. But after continuous usage the sound quality improved greatly.
Previously I have used several other earphones like Sennheiser CX 213, Sennheiser HD 202 II, Sennheiser CX2.00G, Sony MDR EX110, Boats Bassheads 225, Realme Buds 2, etc. Among all of them I found the sound signature of Sennheiser to be the best. But the only complaint was the built quality as the wire quality of Sennheiser is not upto the mark. So after the Sennheiser CX 2.00G got damaged due to the wear and tear of its wires, I decided not to invest much money on earphones and searched for cheaper alternatives. So I bought Realme Buds 2 after a extensive research which cost me less than 5 times of my Sennheiser CX 2.00G. I just loved the sound quality of the Realme Buds 2 earphones. Since my sister urgently needed a pair of earphone I gifted her those after a brief period of use of less than a month.
While looking to buy a new pair of earphones since it is difficult for me to carry around the Sennheiser HD 202 II, I came across the Mi Dual Driver. The name itself caught my fancy and so I ordered it immediately by going through some YouTube reviews. But to my utter surprise these pair of earphones doesn't live up to its name and my expectations. Although they are dual driver they lacks the clarity in the vocals which one would expect from a dual driver earphone. The bass is too much for my liking as it overshadows the vocals and the treble. I myself use a Redmi K20 Pro smartphone and I tweaked the Equalizer of my phone and reduced the bass and tuned the highs to match it to my taste. But still I feel the vocals to be not crisp enough. From this perspective I would rather prefer the Realme Buds 2 over the Mi Dual Driver anyday due to its balanced sound signature.
One thing that Mi Dual Driver does better is retaining the minute details in the music and it also does a better job if you play a song at high volume as the sound doesn't get distorted which is bit of an issue with the Realme Buds 2.

Moreover, the call quality via the microphone of the Mi Dual Driver is very good but I would have preferred the inline remote to be flat though since it is quite difficult to detect the buttons as they are very slim.

At the end of this review I would recommend anyone looking for a pair of earphones providing balanced audio quality without compromising on the mids and the high at this price point to go for Realme Buds 2 or otherwise if they are bassheads than they can go for these without any second thought.",4.0 out of 5 stars
"The headphone is better built than the Sennheiser sound quality is good, but the Sennheiser is just more accurate and clean sounding.

Pros:
Decent Sound

Sleeved cables, better build quality than jbl or Sennheiser

Cons:
the 3.5 mm jack is longer so may have issues going all the way in, for a few phones.

the ear-drivers are a bit bigger and may cause ear pain for long sessions.",4.0 out of 5 stars
"Sound quality is good but bass is not as good as expected.
If you put this earphone in your ears for more than an hour, your ear will start paining.",4.0 out of 5 stars
"Mi Is always Mi
Indian's no 1 quality headphones👌
Beautiful bass like 3D sound
Clear voice
And most of the main part it's made in Vietnam 🇻🇳",5.0 out of 5 stars
Awesome Sound Output through Earphones,5.0 out of 5 stars
Good quality sound...I really liked it,4.0 out of 5 stars
Don't expect too much. It's an avg earphones which does the task.,4.0 out of 5 stars
"Sound Quality good.
Noise cancellation average.
Durability VERY POOR.
My mi dual driver earphone stopped working just after warranty period.",5.0 out of 5 stars
Great sound quality with premium design,5.0 out of 5 stars
Not so sure why it is so over hyped,4.0 out of 5 stars
"Worth to buy Mi, quality is good.",5.0 out of 5 stars
Amazing,5.0 out of 5 stars
Next earphone ever used,5.0 out of 5 stars
It's ok not bad product the thing is it's overpriced but compared to others it's good and its not completely tangle free bass it ok and sound good,3.0 out of 5 stars
Value for price,5.0 out of 5 stars
After watching several videos on YouTube about this i decided to switch From wireless to wired headphones. So what was my experience after buying it ....i will just say one word go for it .( I'm not a fan of xiomi product)..but this time they nailed it.,4.0 out of 5 stars
Gggdd,5.0 out of 5 stars
I am really happy with the product.,5.0 out of 5 stars
Bass quality is so good,5.0 out of 5 stars
"The ear phones for its money, few thing like and dislike.
Likes the wire quality the pause button, foward is good feel and quality. The buds fit well and of good quality. Coming to the sound quality I would say it's good not great.
As for the bass is not over kill but decent the vocals could have been more crisp that is the only dislike I feel rest it's worth the money.",4.0 out of 5 stars
I purchased this earphone back to back three times in a row. No earphone can beat this Sound quality under 1000. Dual driver actually work well. You just have to brun it for some time and use good EQ for more crispy sound.,4.0 out of 5 stars
Best sound quality,5.0 out of 5 stars
"Best in bass, quality and comfort for the price",5.0 out of 5 stars
It is not tangle free as per description.A little annoying,4.0 out of 5 stars
"Using this pair from 2 months previously i used Sony mdr ex 150 ap And Jbl T series and Blaupunkt Em-10 all of these earphones are really sounds good and i love all those 3 but but but those are not durable ! every pair of those got damaged in 3-6 months.
So now i decided to buy a durable earphones this time ! (Only wired)
On my small research i found Realme buds2 and this Mi dual driver are durable because of braded cable one of my friends are using Realme pair so i want to go with Mi pair and #DualDriver which is very good on paper, so orderd this pair
And using this pair from 2+ months

Coming to sound quality - which is good but not very good !

We dont notice it as dual driver as mi claimed, it feels like any other single driver earphones in market

We can able to enjoy good quality until volume level is upto 70
Sound stage is good at that low to medium volume so we can feel that instrument seperation very clearly and we can feel the distance of sound
But but but at high volumes the Sound stage is ZERO we cannot found any instrument seperation and there is no direction for that sounds

Coming to Bass the bass is Avarage (to) good i would say trust me there is bass but there is no punch in that bass
Then those who loves bass music and Edm's will disappoint with this pair i prefer Blaupunkt EM-10 at this price point

L shaped jack is another plus
Magnetic heads are another plus

Finally i found these earphones decent !
This earphones will suit for those who loves melody's and Mid old songs

But i found these earphones are durable and i trust Mi service also ((I found jbl service is unavailable for many people like me))

I like earbuds also which are very different structure and very soft meterial

And i rate these earphones audio 3.3/5
But for durability 5/5

I hope this review will helps you !",4.0 out of 5 stars
"No need to worry, go for it.",5.0 out of 5 stars
Good quality nice work,4.0 out of 5 stars
4years of experience it's working well till now,5.0 out of 5 stars
Nice ear phones iam using 1 year best,4.0 out of 5 stars
Good Only for less Than 4 months Of Usage,3.0 out of 5 stars
"Worth for money
Must try",5.0 out of 5 stars
As earlier this product has maintained the Mi as number one brand.,5.0 out of 5 stars
I ordered this product for my sister and it's been so useful to her and she liked it very much so I'm satisfied this time,5.0 out of 5 stars
"I was using a Realme Buds 2 headphone before this, and the sound quality of MI Duealdriver is almost same as that headphone, so the Realme which is 100 rs cheaper will be a better deal as both of this headphones has almost same build quality. Also i got a product which was opened previously and then sealed back, which is not good. One more point i am not able to find MI name in any part of headphone except on a plast tag.",3.0 out of 5 stars
This is best at this price,5.0 out of 5 stars
"Its comfortable to wear and good for audio calls. For Youtube, listening to music, the audio quality is average.",3.0 out of 5 stars
Everyone in average gave good review but I would like to tell everyone that the bass is not up to the mark what it is hyped about. I had mi dynamic bass earphone and in comparison to that it’s bass is not good. Average product high price and over hyped. If you are gamer don’t go for it. Only for casual music listening,3.0 out of 5 stars
 I like this 😍 earphone,4.0 out of 5 stars
Bass not good overall nice build quality and sound,3.0 out of 5 stars
Audio is good but the mic didn't work after a month,5.0 out of 5 stars
"2nd time buying it....the quality of headphone is superb, study and good looking...the sound quality is also top notch...",5.0 out of 5 stars
"First things first, this product has dual drivers which means a dedicated driver for low frequencies and other to handle mids and highs. This means it handles bass, treble and vocals really well.

If you have poweramp app in your mobile and you know how to tune equalizer then just throw some long drive tracks downloading them from youtube. You will be stunned to hear the quality of music.

I would suggest to go for them blindly. Plus the wires of ear phones are of great quality.",5.0 out of 5 stars
Good,4.0 out of 5 stars
Good sound and earphone quality,5.0 out of 5 stars
Good,3.0 out of 5 stars
" Very good product from mi
I love this one sound quality and bass super but we want little bit sond extra",5.0 out of 5 stars
WORTH FO MONEY,4.0 out of 5 stars
Decent earphones. Serves its purpose well. Not the best you can get at this price but you won't regret buying this.,4.0 out of 5 stars
"The sound from earphones is really good it focuses more on vocals than other elements but there's a good balance between them.

The one thing this earphones disappoint is the wire, half wire is braided which is good but the others half is not braided and it breaks at split joint after a year and the wire isn't straight either it's ll curvey due to its packaging and it will stay curvey forever and tangled easily.",3.0 out of 5 stars
"Long Review:-
Delivery:- Delivery was swift and in a good position.

Initial impressions:- The product was ok, braided cable and 90 degree jack was good, on the other side there is no protection at a place where long cable meets 2 small earpiece cables which can tear easily on daily usage. 3 sets of ear plugs given where medium will be attached with the earphones. Volume down buttons seems to be little bit not okay when compared to other buttons.

Sound:- A very big disappointment when i compared it with Jbl c200si. Normals users can't find any difference but if you are a jbl user jumping into this, you will be totally disappointed. No rich vocals, bass is okay, calls are okay, didn't get any signature sound experience here.

Overall review:- if you are okay with normal quality music, need that 3 button switch and braided cable, you can go for this, if you are true music lover and want to experience each and every bit of music, go for jbl endurance or jbl c200si....

Its purely my opinion, you can research before buying one.",3.0 out of 5 stars
No doubt mind-blowing product ☝️😌,5.0 out of 5 stars
"Got this on Rs. 577
Just one dislike, ergonomics of this earphone, not able to use more then 30mins, black portion of the earphone where R(right) and L(left) is printed, continuesly touches to ear's inner bone and it starts paining after 20-25mins of continuous usage.",3.0 out of 5 stars
"For the purchase price, its good. Give in to the dark art of ""tip-rolling"" and it becomes amazing. You could fault its lack of overall refinement but that would mean one has forgotten its cost price :)",5.0 out of 5 stars
"base was awesome good for listening songs, playing bgmi/pubg, clear crispy sound.",5.0 out of 5 stars
Nice product. Go for it.,5.0 out of 5 stars
All things are not working as expected....,4.0 out of 5 stars
Sound quality good,4.0 out of 5 stars
I love this earphone the sound quality and the bass of the earphone is good.,5.0 out of 5 stars
Very bad product under one month mic is not working and 3.5mm jack issu create on gaming time and music time,3.0 out of 5 stars
"1. Sound- Overall sound quality is good but bass is not that rich. I am not a basshead but still I din not satisfy with its bass. Vocals are clear and instrument separations can be identified well and sometimes the sound of dual drivers can be felt.
2. Built quality- Overall built quality was fantastic. There is no any issue with the braided cable and the gold plated L shaped headphone jack. But the quality of the upper wires can be improved. The quality of metalic earbuds is awesome and the magnetics are decently strong.
3. Mic Quality- This is the best part of these headphones. The microphone is superb in quality. I compared its microphone with the microphones of another earphones. You can never complaint about its mic.
4. Comfort- In case of comfort I can not say its great. Because of metalic earbuds these headphones become a little heavier and if your ears are small the metalic part of earbuds will touch your ears and make it more uncomfortable.
Overall conclusion- If you are finding an earphone with premium looks and good built quality and clear vocal with instrument separations then go for it. Also if you want to record songs with its microphone then blindly go for it. It provides the best microphone in this price range. But if you are expecting deep bass then avoid it. I am returning it because of little uncomfortable for me and also for a little bit poor bass quality.
Have a Good Day.
ig- @nitish_bharadwaj_46",4.0 out of 5 stars
Voice and bass are different.......Awesome,5.0 out of 5 stars
A very good earphones in 999,5.0 out of 5 stars
"After using a pair of AKG earphones and realme buds 2, here are my overall product conclusions/comparisons.

Design (My rating 9/10)
These earphones have a good enough build quality and have a good ear fit. They don't look as good as the realme buds 2 but in the long run they should be more durable than those because of the 90 degree aux connector and thicker earphone wire casing.
The buds fit in very well and the extra tips are extremely useful. Overall these are comfortable enough to sleep in. The AKG's are the worst designed followed by these and the Realme Buds 2 come out on top of this category.

Sound (My rating 7/10)
These are pretty decent sounding in comparison to the other two wired earphones I've used but lean more towards the bass sound profile.
The mids and highs are a little faint in comparison but with the right use of equalizer tuning is fairly easy.
The Realme Buds 2 slightly sound better and the AKG's are the best in this category.

Durability (My rating 10/10)
My AKG's and Realme Buds 2 both had the same problem over the course of 2 years, the braided part was always fine but the joints near the connector and the earphones always used to wear badly. In terms of comparison I think these should do better because of the angled aux port and thicker wire casing.
This category is completely dominated by the Mi buds followed by the Realme Buds2 and then the AKG's",4.0 out of 5 stars
4th time purchased 😘😘,5.0 out of 5 stars
"I have been using these for 2 years now, very good audio quality and very durable compared to realme buds 2. My realme buds 2's wire (above splitter) got cut just by putting in and out of the pocket and bags and stopped working within a month meanwhile these with same treatment are still working.",5.0 out of 5 stars
"These are good value for money, doing what is expected without any exceptional qualities. I have used similar priced Mi earphones of an older model before, these have some good upgrades
Pros:
1) build quality is decent, plastic body with lower part of the cables braided makes it feel stronger. Right angled pin is a good thing to have to avoid it coming in the way while using a device. 3 sized eartips in the package, to customise for fit, provided in a plastic pouch
2) sound quality is good and balanced. Music and lyrics sound even, one does not overpower the other, bass is not prominent. Good for listening to spoken audio and music.
3) call quality is good, based on my testing. People at the other end could hear me well, and so could I. Three button remote is great for adjusting call and music volume without having to reach for the phone (this does not work on iOS devices, but no issues with audio transmission and regular play/pause/ call answer) there are some extra features with long press for android devices mentioned in user manual in box.
4) The magnets on the earbuds is a good addition, useful to maage while wearing and good for small amount of cable management while not in use to avoid tangles
Cons:
1) the earphones come in a simple soft cardboard box, Mi earphones used to come in a hard plastic box earlier which was good for storage but not any longer, no carry pouch either. Storage is up to you, which may affect damage and longevity. Storing extra eartips also is an issue because of this. A carry pouch would be good
2) the pin on the sockets are dependable, in my past experience they last for about a year butbyiubhave to be careful with pulling on them since this is the weakest point of the earphones in my opinion.
3) the braiding on the cake is only on the lower part, after the divider into two sections for each ear it is soft rubber like plastic. This part is more susceptible to breaking, especially at the earbuds end where we ususally have the second most common point of failure.",4.0 out of 5 stars
Good...,5.0 out of 5 stars
I need my 800 rs back ... Because its stop working only in 50 days,5.0 out of 5 stars
Must buy,5.0 out of 5 stars
Great one.....slightly Better than realme buds 2 earphones. I know because i bought both of them....but regarding the button they are too small i lke the realme better,4.0 out of 5 stars
They are magnetic dudes. Not for more noise cancellation and u can't expect more noise cancellation in any earphones that is wired..☠️.!,5.0 out of 5 stars
It's quite good ...go for it,4.0 out of 5 stars
"If you are looking for a descent earphones with some durability and great sound in particularly end of 21' and starting of 22' its not really that bad choice (you have very little choice now ).

Lets jump in to honest sound review , i was in love with cx180 with the sound quality and service .. but unfortunately my warrenty ended & i had to pick these . The sound is not bad as compare to senhisers
But you wont get that sound stage and a lack of crisp in the quality...
The bass yes its moree over there , which is not my taste , well If you Are A Bass Lover you might like it . Well if you got the money spend on senhisers or sony you will have a completely different experience and trust me its worth the money :)",4.0 out of 5 stars
Best product,4.0 out of 5 stars
"I bought this for general music listening and more importantly for office meetings.
- Music experience is best.
- Office colleague can hear background noises.",4.0 out of 5 stars
"Everything is fine.
Wire quality is good but it could be better.
Wire length is enough.
Its not too light. Pretty heavy. Which may cause irritation in long use.
Sound quality is as good as bass quality.
Perfectly made for those who like gaming and all.",5.0 out of 5 stars
Worst in price,3.0 out of 5 stars
"I've been using it for about 2 years. The build quality is great. I broke one just to test it and boii did it too soo much strength on my side. I loved it cuz now I can sleep with it on without worrying. I also felt the bass was too much and Treble was less until I stopped using MIUI. I discovered MiUi does something that makes the bass comes out more so if you use an another device, it sounds great. Or probably u might use the device Equalizer to tune it up. I love it. And I can just say to go for it. U won't believe, I got an spare of this earphone in my cupboard.",4.0 out of 5 stars
"Amazing product

Bass ok

Music clarity amazing

Call & build best",5.0 out of 5 stars
I like the headphones,5.0 out of 5 stars
Overall good product,5.0 out of 5 stars
"Don't go with it's name dual driver will not do anything new, yes but they are providing good sound quality. The're little bit heavy but overall it's good",4.0 out of 5 stars
" It's like a tailored made earphone for me, with clear sound and accurate bass and far better than realme buds 2 in ₹599. As I was using them before since 2 years., I highly recommend in even ₹799....",5.0 out of 5 stars
"Its slighlty higher in price but its worth to buy and use it for music,calls also",4.0 out of 5 stars
"The earphone have the best sound and this makes it very good for gamers.
Clear footsteps while playing fps games like valorant, cod, pubg pc, or even mobile games like bgmi.
Not good for music lovers(they can try realme earphones they are good for media consumption)
But there is a serious problem on the build of this earphone. The volume up, volume down and pause/play button gets pressed without even touching.
The cable quality looks sus looks like it would break easily (but did not break in my case).
The volume is pretty much higher than any normal earphone
This has a very good mic 🎤 like 4000 headphones.
High bass.
Sound quality 9 out of 10
Microphone quantity 8 out of 10
Clear footsteps 10 out of 10
Bass 7 out of 10
Built quality 3 out of 10.
Overall I am satisfied but not with bulid quality so i would give 4 out of 5 star overall. (One star less because of built.",4.0 out of 5 stars
"Been more than a year after heavy usage...
Good for rock and metal , better for Bass.
But once you tweak your EQ in media player , the game changes. Im gonna buy it again.
Better than mi bluetooth single driver ones.",5.0 out of 5 stars
All are good,5.0 out of 5 stars
Good bass good sound quality,5.0 out of 5 stars
Price is quite high,5.0 out of 5 stars
Sound quality not up to the mark.,3.0 out of 5 stars
Design is bad.,3.0 out of 5 stars
Very good product 👌,5.0 out of 5 stars
Sound quality is excellent,4.0 out of 5 stars
Good,4.0 out of 5 stars
"Only one side was working and that too not properly. The other one was completely faulty. Upon looking, the joint enf of the wire was broken.",4.0 out of 5 stars
I like sound quality and bass very good product,5.0 out of 5 stars
Definitely go for it.,5.0 out of 5 stars
"Build quality is best
Awesome sound quality
Bass is superb",5.0 out of 5 stars
Although it costs 699 only but it is the best gaming earphone under 3500,5.0 out of 5 stars
"10/10 sound quality
8/10 bass
Build quality 5/10 the wires breaks very fast and the coating just fall off.",3.0 out of 5 stars
I like it very much,5.0 out of 5 stars
"I bought this product with in 4 months I had a problem with mic lose connection.
Then I went for replacement in warranty period I got new one from the store.

Again after 3 months mic can't able to receive my voice I need to talk keeping the mic peice near my mouth and it's very annoying while playing bgmi.But now I exceeded warranty period.

They will not replace and there is no repair for mi earphone. Now I am using with the mic issue...",2.0 out of 5 stars
Excellent worth of the money,5.0 out of 5 stars
"Prize ke according jo socha tha waise bilkul nhi nikla, isase achha to real me buds hai",2.0 out of 5 stars
"I have ordered this last June month (2021)and it was good for one year. Now I'm again buying it in 2022,June .",3.0 out of 5 stars
Good Performance,5.0 out of 5 stars
nice product value for money and overall is good,4.0 out of 5 stars
Mi dual driver this earphones provide Rich bass and Clear and crisp quality quality. But bass is not overpowering in bass quality is rich. Instrument separation is good. Treble is perfect but vocals are average if you use any equalizer and you have sound sound knowledge the earphone are perform like 2000rs earphone. If you are normal user blindly go for it awesome earphones. The earphones provide satisfying sound.,4.0 out of 5 stars
Mic doesn't work after 6 months,5.0 out of 5 stars
Very good earphone in this price..,5.0 out of 5 stars
"ok so hear me out, for 599? This is pure airpod quality insanely good",5.0 out of 5 stars
"I bought these as a replacement for my trusty Sennheiser CX-180. I switch between both of them depending on what I need them for. I'll list the pros and cons below.

Pros :
1: Treble and Low frequencies are absolutely perfect.
2: Sufficiently long cable, inline microphone.
3: Magnetic buds with convex and concave backs so you can tell which is right and left without needing to look.
4: Ear tips are soft, filtered design unlike other ear tips which are open mouth design.
5: Angled 3.5mm connector for ergonomics as well as durability.

Cons :
1: Mid range frequency isn't great.
2: Headphone cable is braided only halfway, tangles almost immediately where the braid ends.
3: Inline microphone and buttons are poorly designed. The cylinder shape that holds it is unnecessarily large, the buttons have no tactile difference between the three buttons so you'll definitely end up pressing pause instead of volume up/down.
4: The plastic housing of each bud isn't comfortable in ear. Within a matter of minutes you can feel the plastic pressing in your ear. I've changed tips as well as used third party tips, so no change.
5: To make place for the dual drivers the housing is large so also is cause for considerable weight and poor comfort.

Use this if you need it for very short travels that have a lot of outside noise. Good for gaming too due to the inline microphone.

Overall I still prefer my CX-180 for comfort and sound quality even though it doesn't have mic. Also Sennheiser warranty is 2 Years vs 6 Months for these.",4.0 out of 5 stars
Super valu for 💰,5.0 out of 5 stars
"I had been using 1more piston for 2 years now. I recently switched to this product and I am in love with it. The sound quality, bass, noise cancellation is superb and it is really value for money.",5.0 out of 5 stars
I have buyed this product on 23-10-2021. After using of 3 to 4 month the problem started which is front person can't hear me properly until i keep the mic very close to my mouth. And inspite of keeping my mic close to my mouth the volume is not that much high which front person can hear. Also warranty is not mentioned here in Amazon and when i talked to Mi customer care they told me that warranty is only for 6 month. I would suggest go for crossloop headphones they are better than this and they are providing 1 year warranty. I have used crossloop headphones as well and i was satisfied with them. I regret that i have tried this Mi headphones. Hope my review will help someone to take the correct decision on this mi headphones.,2.0 out of 5 stars
"I earphone sound quality is good, but it hurts my ear.",2.0 out of 5 stars
"Used for 9 months, got an ear bud faulty, got replaced used for two years. Survived my rough usage. Qulaity for what you pay.",5.0 out of 5 stars
Sound quality is good and wire quality also good.,4.0 out of 5 stars
Nice But price is little high,4.0 out of 5 stars
"I Love Mi Products But This is Unhappy ,Becoz Its not Working Properly After 1 Week ,Please don't Give Low Quality Product , Please maintain Quality Team ...",4.0 out of 5 stars
